Course code,Course Name,branch,semester,LTPSC,faculty,strength,type
EC252,Introduction of RFIC Design,CSE (separate),3,2-0-0-0-2,"Dr. Rajesh Kumar",60,open_elective
ESI251,Introduction to Embedded Signal Intelligence,CSE (separate),3,2-0-0-0-2,"Dr. Sibasankar Padhy",60,open_elective
ESE251,Electronic Systems Engineering,CSE (separate),3,2-0-0-0-2,"Mr. Mallikarjun Kande",60,open_elective
CS152,Data Science with Python,CSE (separate),3,2-0-0-0-2,"Dr. Abdul Wahid",60,open_elective
ASD252,User Interactions and Experience Design,CSE (separate),3,4-0-0-0-4,"Dr. Sandesh P",60,open_elective
CS251,2D Computer Graphics,CSE (separate),3,2-0-0-0-2,"Dr. Vivekraj",60,open_elective
MA261,Differential Equations,ECE,3,3-1-0-0-2,"Dr. Anand Barangi",60,core
MA262,Multivariable Calculus,ECE,3,3-1-0-0-2,"Dr. Somen B",60,core
HS261,HSSTE,ECE,3,3-0-0-0-3,"TBD",60,core
EC263,Random Process,ECE,3,3-1-0-0-2,"Dr. Chinmayananada",60,core
EC264,Signals & Systems,ECE,3,3-1-0-0-3,"Dr. Somen B",60,core
EC265,Semiconductor Devices,ECE,3,3-0-0-0-2,"Dr. Pankaj Kumar",60,core
EC266,Analog Electronics Circuits,ECE,3,3-0-2-0-2,"Dr. Rajesh Kumar",60,core
EC267,Machine Learning,ECE,3,3-1-0-0-4,"Dr. Deepak KT",60,core
EC251,Electronics System Design-I,ECE,3,2-0-0-0-2,"Dr. Pankaj",60,open_elective
EC252,Introduction of RFIC Design,ECE,3,2-0-0-0-2,"Dr. Rajesh Kumar",60,open_elective
ESI251,Introduction to Embedded Signal Intelligence,ECE,3,2-0-0-0-2,"Dr. Sibasankar Padhy",60,open_elective
ESE251,Electronic Systems Engineering,ECE,3,2-0-0-0-2,"Mr. Mallikarjun Kande (Co-Ordinator Dr. Jayashree K)",60,open_elective
CS152,Data Science with Python,ECE,3,2-0-0-0-2,"Dr. Abdul Wahid",60,open_elective
ASD252,User Interactions and Experience Design,ECE,3,4-0-0-0-4,"Dr. Sandesh P",60,open_elective
CS251,2D Computer Graphics,ECE,3,2-0-0-0-2,"Dr. Vivekraj",60,open_elective
